Date,Open
04/19/2024,2980.08
04/18/2024,3025.75
04/17/2024,3094.85
04/16/2024,3071.09
04/15/2024,3145.66
04/14/2024,2972.02
04/13/2024,3228.96
04/12/2024,3534.62
04/11/2024,3575.27
04/10/2024,3499.53
04/09/2024,3644.61
04/08/2024,3422.79
04/07/2024,3388.67
04/06/2024,3331.11
04/05/2024,3307.81
04/04/2024,3278.07
04/03/2024,3314.83
04/02/2024,3365.60
04/01/2024,3647.09
03/31/2024,3537.30
03/30/2024,3489.63
03/29/2024,3562.39
03/28/2024,3497.03
03/27/2024,3603.11
03/26/2024,3623.87
03/25/2024,3452.06
03/24/2024,3308.80
03/23/2024,3338.92
03/22/2024,3522.30
03/21/2024,3513.60
03/20/2024,3158.51
03/19/2024,3419.61
03/15/2024,3969.68
03/14/2024,3992.33
03/13/2024,4042.98
03/12/2024,4028.30
03/11/2024,3864.20
03/10/2024,3935.15
03/09/2024,3925.34
03/08/2024,3898.97
03/07/2024,3780.26
08/10/2023,1857.05
08/09/2023,1853.87
08/08/2023,1829.09
08/07/2023,1844.36
08/06/2023,1834.52
08/05/2023,1832.47
08/04/2023,1834.29
08/03/2023,1840.73
08/02/2023,1863.33
08/01/2023,1826.61
07/31/2023,1868.37
07/30/2023,1878.56
07/29/2023,1863.99
07/28/2023,1862.88
07/27/2023,1876.08
07/26/2023,1859.12
07/25/2023,1850.47
07/24/2023,1868.51
07/23/2023,1869.33
07/22/2023,1893.06
07/21/2023,1896.90
07/20/2023,1894.22
07/19/2023,1912.51
07/18/2023,1908.91
07/17/2023,1931.40
07/16/2023,1923.04
07/15/2023,1930.39
07/14/2023,2009.31
07/13/2023,1867.42
07/12/2023,1880.27
07/11/2023,1880.05
07/10/2023,1861.70
07/09/2023,1868.05
07/08/2023,1863.95
07/07/2023,1858.12
07/06/2023,1913.68
07/05/2023,1941.29
07/04/2023,1963.44
07/03/2023,1949.09
07/02/2023,1913.07
07/01/2023,1920.45
06/30/2023,1873.01
06/29/2023,1838.13
06/28/2023,1861.42
06/27/2023,1875.95
06/26/2023,1878.53
06/25/2023,1883.81
06/24/2023,1894.12
06/23/2023,1878.91
